Date;Value
01/01/1990;127,4
01/02/1990;128,0
01/03/1990;128,7
01/04/1990;128,9
01/05/1990;129,2
01/06/1990;129,9
01/07/1990;130,4
01/08/1990;131,6
01/09/1990;132,7
01/10/1990;133,5
01/11/1990;133,8
01/12/1990;133,8
01/01/1991;134,6
01/02/1991;134,8
01/03/1991;135,0
01/04/1991;135,2
01/05/1991;135,6
01/06/1991;136,0
01/07/1991;136,2
01/08/1991;136,6
01/09/1991;137,2
01/10/1991;137,4
01/11/1991;137,8
01/12/1991;137,9
01/01/1992;138,1
01/02/1992;138,6
01/03/1992;139,3
01/04/1992;139,5
01/05/1992;139,7
01/06/1992;140,2
01/07/1992;140,5
01/08/1992;140,9
01/09/1992;141,3
01/10/1992;141,8
01/11/1992;142,0
01/12/1992;141,9
01/01/1993;142,6
01/02/1993;143,1
01/03/1993;143,6
01/04/1993;144,0
01/05/1993;144,2
01/06/1993;144,4
01/07/1993;144,4
01/08/1993;144,8
01/09/1993;145,1
01/10/1993;145,7
01/11/1993;145,8
01/12/1993;145,8
01/01/1994;146,2
01/02/1994;146,7
01/03/1994;147,2
01/04/1994;147,4
01/05/1994;147,5
01/06/1994;148,0
01/07/1994;148,4
01/08/1994;149,0
01/09/1994;149,4
01/10/1994;149,5
01/11/1994;149,7
01/12/1994;149,7
01/01/1995;150,3
01/02/1995;150,9
01/03/1995;151,4
01/04/1995;151,9
01/05/1995;152,2
01/06/1995;152,5
01/07/1995;152,5
01/08/1995;152,9
01/09/1995;153,2
01/10/1995;153,7
01/11/1995;153,6
01/12/1995;153,5
01/01/1996;154,4
01/02/1996;154,9
01/03/1996;155,7
01/04/1996;156,3
01/05/1996;156,6
01/06/1996;156,7
01/07/1996;157,0
01/08/1996;157,3
01/09/1996;157,8
01/10/1996;158,3
01/11/1996;158,6
01/12/1996;158,6
01/01/1997;159,1
01/02/1997;159,6
01/03/1997;160,0
01/04/1997;160,2
01/05/1997;160,1
01/06/1997;160,3
01/07/1997;160,5
01/08/1997;160,8
01/09/1997;161,2
01/10/1997;161,6
01/11/1997;161,5
01/12/1997;161,3
01/01/1998;161,6
01/02/1998;161,9
01/03/1998;162,2
01/04/1998;162,5
01/05/1998;162,8
01/06/1998;163,0
01/07/1998;163,2
01/08/1998;163,4
01/09/1998;163,6
01/10/1998;164,0
01/11/1998;164,0
01/12/1998;163,9
01/01/1999;164,3
01/02/1999;164,5
01/03/1999;165,0
01/04/1999;166,2
01/05/1999;166,2
01/06/1999;166,2
01/07/1999;166,7
01/08/1999;167,1
01/09/1999;167,9
01/10/1999;168,2
01/11/1999;168,3
01/12/1999;168,3
01/01/2000;168,8
01/02/2000;169,8
01/03/2000;171,2
01/04/2000;171,3
01/05/2000;171,5
01/06/2000;172,4
01/07/2000;172,8
01/08/2000;172,8
01/09/2000;173,7
01/10/2000;174,0
01/11/2000;174,1
01/12/2000;174,0
01/01/2001;175,1
01/02/2001;175,8
01/03/2001;176,2
01/04/2001;176,9
01/05/2001;177,7
01/06/2001;178,0
01/07/2001;177,5
01/08/2001;177,5
01/09/2001;178,3
01/10/2001;177,7
01/11/2001;177,4
01/12/2001;176,7
01/01/2002;177,1
01/02/2002;177,8
01/03/2002;178,8
01/04/2002;179,8
01/05/2002;179,8
01/06/2002;179,9
01/07/2002;180,1
01/08/2002;180,7
01/09/2002;181,0
01/10/2002;181,3
01/11/2002;181,3
01/12/2002;180,9
01/01/2003;181,7
01/02/2003;183,1
01/03/2003;184,2
01/04/2003;183,8
01/05/2003;183,5
01/06/2003;183,7
01/07/2003;183,9
01/08/2003;184,6
01/09/2003;185,2
01/10/2003;185,0
01/11/2003;184,5
01/12/2003;184,3
01/01/2004;185,2
01/02/2004;186,2
01/03/2004;187,4
01/04/2004;188,0
01/05/2004;189,1
01/06/2004;189,7
01/07/2004;189,4
01/08/2004;189,5
01/09/2004;189,9
01/10/2004;190,9
01/11/2004;191,0
01/12/2004;190,3
01/01/2005;190,7
01/02/2005;191,8
01/03/2005;193,3
01/04/2005;194,6
01/05/2005;194,4
01/06/2005;194,5
01/07/2005;195,4
01/08/2005;196,4
01/09/2005;198,8
01/10/2005;199,2
01/11/2005;197,6
01/12/2005;196,8
01/01/2006;198,3
01/02/2006;198,7
01/03/2006;199,8
01/04/2006;201,5
01/05/2006;202,5
01/06/2006;202,9
01/07/2006;203,5
01/08/2006;203,9
01/09/2006;202,9
01/10/2006;201,8
01/11/2006;201,5
01/12/2006;201,8
01/01/2007;202,416
01/02/2007;203,499
01/03/2007;205,352
01/04/2007;206,686
01/05/2007;207,949
01/06/2007;208,352
01/07/2007;208,299
01/08/2007;207,917
01/09/2007;208,490
01/10/2007;208,936
01/11/2007;210,177
01/12/2007;210,036
01/01/2008;211,080
01/02/2008;211,693
01/03/2008;213,528
01/04/2008;214,823
01/05/2008;216,632
01/06/2008;218,815
01/07/2008;219,964
01/08/2008;219,086
01/09/2008;218,783
01/10/2008;216,573
01/11/2008;212,425
01/12/2008;210,228
01/01/2009;211,143
01/02/2009;212,193
01/03/2009;212,709
01/04/2009;213,240
01/05/2009;213,856
01/06/2009;215,693
01/07/2009;215,351
01/08/2009;215,834
01/09/2009;215,969
01/10/2009;216,177
01/11/2009;216,330
01/12/2009;215,949
01/01/2010;216,687
01/02/2010;216,741
01/03/2010;217,631
01/04/2010;218,009
01/05/2010;218,178
01/06/2010;217,965
01/07/2010;218,011
01/08/2010;218,312
01/09/2010;218,439
01/10/2010;218,711
01/11/2010;218,803
01/12/2010;219,179
01/01/2011;220,223
01/02/2011;221,309
01/03/2011;223,467
01/04/2011;224,906
01/05/2011;225,964
01/06/2011;225,722
01/07/2011;225,922
01/08/2011;226,545
01/09/2011;226,889
01/10/2011;226,421
01/11/2011;226,230
01/12/2011;225,672
01/01/2012;226,665
01/02/2012;227,663
01/03/2012;229,392
01/04/2012;230,085
01/05/2012;229,815
01/06/2012;229,478
01/07/2012;229,104
01/08/2012;230,379
01/09/2012;231,407
01/10/2012;231,317
01/11/2012;230,221
01/12/2012;229,601
01/01/2013;230,280
01/02/2013;232,166
01/03/2013;232,773
01/04/2013;232,531
01/05/2013;232,945
01/06/2013;233,504
01/07/2013;233,596
01/08/2013;233,877
01/09/2013;234,149
01/10/2013;233,546
01/11/2013;233,069
01/12/2013;233,049
01/01/2014;233,916
01/02/2014;234,781
01/03/2014;236,293
01/04/2014;237,072
01/05/2014;237,900
01/06/2014;238,343
01/07/2014;238,250
01/08/2014;237,852
01/09/2014;238,031
01/10/2014;237,433
01/11/2014;236,151
01/12/2014;234,812
01/01/2015;233,707
01/02/2015;234,722
01/03/2015;236,119
01/04/2015;236,599
01/05/2015;237,805
01/06/2015;238,638
01/07/2015;238,654
01/08/2015;238,316
01/09/2015;237,945
01/10/2015;237,838
01/11/2015;237,336
01/12/2015;236,525
01/01/2016;236,916
01/02/2016;237,111
01/03/2016;238,132
01/04/2016;239,261
01/05/2016;240,229
01/06/2016;241,018
01/07/2016;240,628
01/08/2016;240,849
01/09/2016;241,428
01/10/2016;241,729
01/11/2016;241,353
01/12/2016;241,432
01/01/2017;242,839
01/02/2017;243,603
01/03/2017;243,801
01/04/2017;244,524
01/05/2017;244,733
01/06/2017;244,955
01/07/2017;244,786
01/08/2017;245,519
01/09/2017;246,819
01/10/2017;246,663
01/11/2017;246,669
01/12/2017;246,524
01/01/2018;247,867
01/02/2018;248,991
01/03/2018;249,554
01/04/2018;250,546
01/05/2018;251,588
01/06/2018;251,989
01/07/2018;252,006
01/08/2018;252,146
01/09/2018;252,439
01/10/2018;252,885
01/11/2018;252,038
01/12/2018;251,233
01/01/2019;251,712
01/02/2019;252,776
01/03/2019;254,202
01/04/2019;255,548
01/05/2019;256,092
01/06/2019;256,143
01/07/2019;256,571
01/08/2019;256,558
01/09/2019;256,759
01/10/2019;257,346
01/11/2019;257,208
01/12/2019;256,974
01/01/2020;257,971
01/02/2020;258,678
